host_is_superhost,host is superhost and cancellation policy,cancellation_policy,beach essentials vs family/kid friendly,first aid kit,host listings count vs cancellation policy,host_total_listings_count,host_listings_count,host listings count and pets allowed,pets allowed,pets allowed to host listings count,instant_bookable,beach essentials,property_type
0,0,3,-1,0,2.0,5.0,5.0,0.0,0,0.0,1,0,25
0,0,3,-1,0,-1.0,2.0,2.0,0.0,0,0.0,1,0,23
0,0,0,0,1,5.0,5.0,5.0,5.0,1,0.16666666666666666,0,0,20
1,0,0,0,0,1.0,1.0,1.0,0.0,0,0.0,0,0,10
0,0,0,-1,1,1.0,1.0,1.0,1.0,1,0.5,0,0,1
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,0,0,1
0,0,3,0,1,66.0,69.0,69.0,0.0,0,0.0,0,1,32
1,1,1,-1,0,0.0,1.0,1.0,0.0,0,0.0,0,0,23
1,5,5,-1,1,81.0,86.0,86.0,0.0,0,0.0,1,0,23
1,3,3,-1,0,27.0,30.0,30.0,30.0,1,0.03225806451612903,1,0,1
1,0,0,0,1,2.0,2.0,2.0,0.0,0,0.0,1,0,23
0,0,1,0,0,2.0,3.0,3.0,0.0,0,0.0,0,0,23
1,3,3,0,1,60.0,63.0,63.0,63.0,1,0.015625,1,1,14
0,0,3,-1,0,277.0,280.0,280.0,0.0,0,0.0,1,0,1
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,14
0,0,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,0,1,15
1,1,1,-1,1,14.0,15.0,15.0,0.0,0,0.0,1,0,1
0,0,1,-1,0,1.0,2.0,2.0,0.0,0,0.0,0,0,1
1,3,3,-1,1,27.0,30.0,30.0,0.0,0,0.0,1,0,23
0,0,0,0,1,3.0,3.0,3.0,0.0,0,0.0,1,0,23
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,25
0,0,1,0,0,2.0,3.0,3.0,0.0,0,0.0,0,0,20
1,3,3,-1,0,-2.0,1.0,1.0,1.0,1,0.5,1,0,5
0,0,0,0,0,1.0,1.0,1.0,0.0,0,0.0,1,0,14
0,0,3,-1,1,1.0,4.0,4.0,4.0,1,0.2,1,0,5
1,3,3,0,0,5.0,8.0,8.0,0.0,0,0.0,0,0,1
0,0,3,0,0,44.0,47.0,47.0,0.0,0,0.0,1,0,23
0,0,1,-1,0,0.0,1.0,1.0,0.0,0,0.0,0,0,23
1,1,1,-1,1,2.0,3.0,3.0,0.0,0,0.0,1,0,19
1,1,1,-1,0,2.0,3.0,3.0,0.0,0,0.0,1,0,23
1,3,3,-1,0,1.0,4.0,4.0,0.0,0,0.0,0,0,14
1,3,3,1,1,-1.0,2.0,2.0,0.0,0,0.0,1,1,15
0,0,3,-1,1,13.0,16.0,16.0,16.0,1,0.058823529411764705,1,0,23
0,0,3,0,0,2.0,5.0,5.0,0.0,0,0.0,1,1,1
0,0,1,0,1,1.0,2.0,2.0,0.0,0,0.0,0,0,23
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,1,0,23
0,0,0,-1,0,1.0,1.0,1.0,0.0,0,0.0,0,0,1
0,0,1,0,0,1.0,2.0,2.0,0.0,0,0.0,1,0,23
0,0,0,0,0,2.0,2.0,2.0,0.0,0,0.0,0,0,23
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,1,0,14
0,0,3,0,0,-1.0,2.0,2.0,0.0,0,0.0,1,0,23
1,1,1,0,0,2.0,3.0,3.0,0.0,0,0.0,1,0,23
1,3,3,0,0,27.0,30.0,30.0,0.0,0,0.0,1,1,32
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,20
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,32
0,0,1,0,1,0.0,1.0,1.0,1.0,1,0.5,1,1,14
0,0,3,0,0,1133.0,1136.0,1136.0,0.0,0,0.0,1,0,1
0,0,1,-1,1,2.0,3.0,3.0,0.0,0,0.0,1,0,1
1,3,3,-1,1,6.0,9.0,9.0,0.0,0,0.0,1,0,25
0,0,0,0,0,1.0,1.0,1.0,0.0,0,0.0,0,0,23
1,1,1,0,1,-1.0,0.0,0.0,0.0,0,0.0,0,0,20
1,3,3,-1,0,3.0,6.0,6.0,0.0,0,0.0,1,0,23
0,0,5,-1,0,398.0,403.0,403.0,403.0,1,0.0024752475247524753,1,0,23
1,1,1,0,0,14.0,15.0,15.0,0.0,0,0.0,0,0,1
0,0,3,0,1,-1.0,2.0,2.0,0.0,0,0.0,0,0,23
0,0,0,0,1,2.0,2.0,2.0,0.0,0,0.0,1,0,19
0,0,3,-1,1,2.0,5.0,5.0,0.0,0,0.0,0,0,23
1,3,3,1,0,-1.0,2.0,2.0,0.0,0,0.0,0,1,3
0,0,3,1,1,3.0,6.0,6.0,6.0,1,0.14285714285714285,0,1,1
0,0,3,1,1,-2.0,1.0,1.0,0.0,0,0.0,1,1,32
1,5,5,-1,1,81.0,86.0,86.0,0.0,0,0.0,1,0,23
0,0,0,0,0,1.0,1.0,1.0,1.0,1,0.5,1,0,23
1,3,3,-1,0,-1.0,2.0,2.0,0.0,0,0.0,1,0,23
0,0,0,0,1,2.0,2.0,2.0,0.0,0,0.0,1,0,14
0,0,3,-1,0,1.0,4.0,4.0,4.0,1,0.2,1,0,14
1,1,1,0,0,0.0,1.0,1.0,1.0,1,0.5,1,0,23
1,3,3,0,1,-2.0,1.0,1.0,1.0,1,0.5,1,1,23
1,0,0,0,0,1.0,1.0,1.0,0.0,0,0.0,0,0,23
1,1,1,1,1,4.0,5.0,5.0,5.0,1,0.16666666666666666,1,1,23
